Date/Time (EST),Precipitation (mm)
2015-01-01 00:00:00,30.0
2015-01-01 00:01:00,29.23076923076923
2015-01-01 00:02:00,28.46153846153846
2015-01-01 00:03:00,27.692307692307693
2015-01-01 00:04:00,26.923076923076923
2015-01-01 00:05:00,26.153846153846153
2015-01-01 00:06:00,25.384615384615383
2015-01-01 00:07:00,24.615384615384613
2015-01-01 00:08:00,23.846153846153847
2015-01-01 00:09:00,23.076923076923077
2015-01-01 00:10:00,22.307692307692307
2015-01-01 00:11:00,21.53846153846154
2015-01-01 00:12:00,20.769230769230766
2015-01-01 00:13:00,20.0
2015-01-01 00:14:00,19.23076923076923
2015-01-01 00:15:00,18.46153846153846
2015-01-01 00:16:00,17.692307692307693
2015-01-01 00:17:00,16.92307692307692
2015-01-01 00:18:00,16.153846153846153
2015-01-01 00:19:00,15.384615384615383
2015-01-01 00:20:00,14.615384615384615
2015-01-01 00:21:00,13.846153846153847
2015-01-01 00:22:00,13.076923076923077
2015-01-01 00:23:00,12.307692307692307
2015-01-01 00:24:00,11.538461538461537
2015-01-01 00:25:00,10.769230769230766
2015-01-01 00:26:00,10.0
2015-01-01 00:27:00,9.2307692307692299
2015-01-01 00:28:00,8.4615384615384599
2015-01-01 00:29:00,7.6923076923076898
2015-01-01 00:30:00,6.9230769230769234
2015-01-01 00:31:00,6.1538461538461533
2015-01-01 00:32:00,5.3846153846153832
2015-01-01 00:33:00,4.6153846153846132
2015-01-01 00:34:00,3.8461538461538431
2015-01-01 00:35:00,3.0769230769230766
2015-01-01 00:36:00,2.3076923076923066
2015-01-01 00:37:00,1.5384615384615365
2015-01-01 00:38:00,0.7692307692307665
2015-01-01 00:39:00,0.0
