Date/Time (EST),Precipitation (mm)
2015-01-01 00:00:00,30.0
2015-01-01 00:02:00,28.421052631578949
2015-01-01 00:04:00,26.842105263157894
2015-01-01 00:06:00,25.263157894736842
2015-01-01 00:08:00,23.684210526315788
2015-01-01 00:10:00,22.105263157894736
2015-01-01 00:12:00,20.526315789473685
2015-01-01 00:14:00,18.94736842105263
2015-01-01 00:16:00,17.368421052631579
2015-01-01 00:18:00,15.789473684210526
2015-01-01 00:20:00,14.210526315789473
2015-01-01 00:22:00,12.631578947368421
2015-01-01 00:24:00,11.05263157894737
2015-01-01 00:26:00,9.473684210526315
2015-01-01 00:28:00,7.8947368421052637
2015-01-01 00:30:00,6.3157894736842088
2015-01-01 00:32:00,4.7368421052631575
2015-01-01 00:34:00,3.1578947368421062
2015-01-01 00:36:00,1.5789473684210513
2015-01-01 00:38:00,0.0
